"tier","id","designation","messier","name_en","name_ja","type","vMag","majorAxisArcmin","con"
"1","NGC1049","NGC 1049","","Fornax Dwarf Cluster 3","","GC","12.89","1.2","For"
"3","NGC5138","NGC 5138","","","","OC","5.33","4.2","Cen"
"3","NGC7686","NGC 7686","","","","OC","5.6","3.6","And"
"3","NGC7160","NGC 7160","","","","OC","6.1","4.2","Cep"
"3","NGC1545","NGC 1545","","","","OC","6.2","4.2","Per"
"3","NGC1444","NGC 1444","","","","OC","6.6","3.6","Per"
"3","NGC3572","NGC 3572","","","","OC","6.6","4.08","Car"
"3","NGC6169","NGC 6169","","","","OC","6.6","4.2","Nor"
"3","NGC2129","NGC 2129","","","","OC","6.7","3.9","Gem"
"3","NGC0225","NGC 225","","","","OC","7","4.2","Cas"
"3","NGC6235","NGC 6235","","","","GC","7.2","4.2","Oph"
"3","NGC2409","NGC 2409","","","","OC","7.3","0.11","Pup"
"3","NGC2483","NGC 2483","","","","OC","7.6","3.3","Pup"
"3","NGC5606","NGC 5606","","","","OC","7.7","3.6","Cen"
"3","NGC7234","NGC 7234","","","","OC","7.7","2.4","Cep"
"3","NGC2670","NGC 2670","","","","OC","7.8","4.2","Vel"
"3","NGC0659","NGC 659","","","","OC","7.9","4.2","Cas"
"3","NGC2489","NGC 2489","","","","OC","7.9","4.2","Pup"
"3","NGC5823","NGC 5823","","","","OC","7.9","3.9","Cir"
"3","NGC6830","NGC 6830","","","","OC","7.9","4.2","Vul"
"3","NGC7510","NGC 7510","","","","OC","7.9","3.9","Cep"
"3","NGC6647","NGC 6647","","","","OC","8","3.6","Sgr"
"3","NGC2180","NGC 2180","","","","OC","8.3","4.2","Ori"
"3","NGC2453","NGC 2453","","","","OC","8.3","3","Pup"
"3","NGC7062","NGC 7062","","","","OC","8.3","3.6","Cyg"
"3","NGC2055","NGC 2055","","","","OC","8.39","1.9","Dor"
"3","IC2157","IC 2157","","","","OC","8.4","2.7","Gem"
"3","NGC2383","NGC 2383","","","","OC","8.4","4.2","CMa"
"3","NGC6396","NGC 6396","","","","OC","8.5","3.3","Sco"
"3","NGC7790","NGC 7790","","","","OC","8.5","3.6","Cas"
"3","NGC4815","NGC 4815","","","","OC","8.6","3.9","Mus"
"3","NGC2186","NGC 2186","","","","OC","8.7","4.2","Ori"
"3","NGC0189","NGC 189","","","","OC","8.8","2.7","Cas"
"3","NGC2660","NGC 2660","","","","OC","8.8","3.6","Vel"
"3","NGC2004","NGC 2004","","","","GC","8.9","3","Dor"
"3","NGC2100","NGC 2100","","","","GC","8.9","2.5","Dor"
"3","NGC1850","NGC 1850","","","","GC","8.96","3","Dor"
"3","NGC1818","NGC 1818","","","","GC","9","3.1","Dor"
"3","NGC5999","NGC 5999","","","","OC","9","3.3","Nor"
"3","NGC6304","NGC 6304","","","","GC","9.03","3.6","Oph"
"3","IC1442","IC 1442","","","","OC","9.1","4.2","Lac"
"3","NGC0146","NGC 146","","","","OC","9.1","3.6","Cas"
"3","NGC2254","NGC 2254","","","","OC","9.1","4.2","Mon"
"3","NGC5168","NGC 5168","","","","OC","9.1","4.2","Cen"
"3","NGC7031","NGC 7031","","","","OC","9.1","3.9","Cyg"
"3","NGC6704","NGC 6704","","","","OC","9.2","3.3","Sct"
"3","NGC7245","NGC 7245","","","","OC","9.2","3.9","Lac"
"3","NGC2050","NGC 2050","","","","OC","9.25","3","Dor"
"3","NGC1747","NGC 1747","","","","OC","9.37","4.4","Dor"
"3","NGC0133","NGC 133","","","","OC","9.4","2.1","Cas"
"3","NGC1786","NGC 1786","","","","GC","9.4","2","Dor"
"3","NGC6683","NGC 6683","","","","OC","9.4","3","Sct"
"3","NGC7788","NGC 7788","","","","OC","9.4","2.4","Cas"
"3","NGC6522","NGC 6522","","","","GC","9.48","3.9","Sgr"
"3","NGC2266","NGC 2266","","","","OC","9.5","4.2","Gem"
"3","NGC0330","NGC 330","","","","OC","9.55","2.8","Tuc"
"3","NGC1496","NGC 1496","","","","OC","9.6","2.1","Per"
"3","NGC7226","NGC 7226","","","","OC","9.6","3","Cep"
"3","NGC6638","NGC 6638","","","","GC","9.68","4.2","Sgr"
"3","NGC2580","NGC 2580","","","","OC","9.7","3","Pup"
"3","NGC3105","NGC 3105","","","","OC","9.7","4.08","Vel"
"3","NGC7067","NGC 7067","","","","OC","9.7","2.4","Cyg"
"3","NGC7128","NGC 7128","","","","OC","9.7","3","Cyg"
"3","NGC7295","NGC 7295","","","","OC","9.7","2.7","Lac"
"3","NGC1848","NGC 1848","","","","OC","9.73","2.2","Men"
"3","NGC0103","NGC 103","","","","OC","9.8","2.7","Cas"
"3","NGC5715","NGC 5715","","","","OC","9.8","3.6","Cir"
"3","NGC1755","NGC 1755","","","","GC","9.85","2.2","Dor"
"3","NGC6535","NGC 6535","","","","GC","9.85","3.6","Se2"
"3","NGC2972","NGC 2972","","","","OC","9.9","3.6","Vel"
"3","NGC1761","NGC 1761","","","","OC","9.94","4.2","Dor"
