"tier","id","designation","messier","name_en","name_ja","type","vMag","majorAxisArcmin","con"
"1","NGC3918","NGC 3918","","Blue Planetary","","PN","8.1","0.32","Cen"
"1","NGC3132","NGC 3132","","Eight-Burst Nebula","南のリング星雲","PN","9.2","0.5","Vel"
"1","NGC1555","NGC 1555","","Hind's Nebula","","RN","9.28","1.82","Tau"
"1","NGC6818","NGC 6818","","Little Gem Nebula","","PN","9.3","0.77","Sgr"
"1","NGC4568","NGC 4568","","Butterfly Galaxies","","G","10.8","4.31","Vir"
"1","NGC4651","NGC 4651","","Umbrella Galaxy","","G","10.82","3.87","Com"
"1","NGC1317","NGC 1317","","Fornax B","","G","10.88","3.1","For"
"1","NGC4438","NGC 4438","","Eyes","","G","10.92","9.16","Vir"
"1","NGC4435","NGC 4435","","Eyes","","G","10.96","3.03","Vir"
"1","NGC6905","NGC 6905","","Blue Flash Nebula","","PN","11.1","0.67","Del"
"1","NGC6445","NGC 6445","","Little Gem","","PN","11.2","0.55","Sgr"
"1","NGC4567","NGC 4567","","Butterfly Galaxies","","G","11.32","2.74","Vir"
"1","NGC2685","NGC 2685","","Helix Galaxy","","G","11.35","4.33","UMa"
"1","NGC6309","NGC 6309","","Box Nebula","","PN","11.5","0.26","Oph"
"1","NGC6741","NGC 6741","","Phantom Streak Nebula","","PN","11.5","0.13","Aql"
"1","NGC6537","NGC 6537","","Red Spider Nebula","","PN","11.6","0.17","Sgr"
"1","NGC2537","NGC 2537","","Bear Claw Nebula","","G","11.71","2.07","Lyn"
"1","NGC2261","NGC 2261","","Hubble's Nebula","","RN","11.85","2","Mon"
"1","NGC1049","NGC 1049","","Fornax Dwarf Cluster 3","","GC","12.89","1.2","For"
"2","NGC1788","NGC 1788","","","","RN","5.1","2","Ori"
"2","NGC6164","NGC 6164","","","","EN","6.71","1.41","Nor"
"2","NGC6165","NGC 6165","","","","EN","6.71","2.5","Nor"
"2","NGC2074","NGC 2074","","","","CN","7.8","4","Dor"
"2","NGC2247","NGC 2247","","","","RN","7.8","2","Mon"
"2","NGC6572","NGC 6572","","","","PN","8.1","0.18","Oph"
"2","NGC2182","NGC 2182","","","","RN","8.3","3","Mon"
"2","NGC7027","NGC 7027","","","","PN","8.5","0.23","Cyg"
